Variables,,Total land area (km2),Metropolitan land share of national value (%),Urbanised area (km2),Urbanised area share (%),Green area per million people (square meters per million person),Urban form,,,Territorial organisation,,,
  US045: Detroit,,5244.45,0.06,3142.47,59.92,533.35,1,100,3.45,131,131,3.33,30013.39
  US048: Boston,,4829.9,0.05,2128.74,44.07,88.2,1,100,3,120,120,3.34,29955.22
  US055: Chicago,,18910.46,0.21,6302.59,33.33,427.11,1,96.73,4.47,540,226,5.81,17217.1
  US069: Cleveland,,1790.11,0.02,1241.58,69.36,493.97,1,85.26,5.46,82,59,5.28,18945.49
  US084: New York,,9882.07,0.11,5191.16,52.53,40.22,2,97.56,0.34,356,323,2.17,45977.55
  US103: Harrisburg,,5330.03,0.06,743.06,13.94,3924.07,1,87.63,-0.89,120,73,21.55,4640.18
  US115: Indianapolis,,6929.77,0.08,1741.3,25.13,1097.71,1,56.8,-1.68,138,24,8.85,11302.33
  US117: Dayton,,2280.64,0.02,750.05,32.89,1108.62,1,77.74,3.04,50,28,7.14,14010.86
  US133: Colorado Springs,,6963.22,0.08,492.39,7.07,17.17,1,96.3,1.9,11,8,1.83,54542.55
  US141: Louisville,,9429.64,0.1,1119.44,11.87,4354.44,1,86.06,0.82,161,85,13.55,7378.24
  US147: Wichita,,9428.96,0.1,866.81,9.19,43.1,1,84.48,0.73,129,46,22.72,4400.98
  US149: Richmond,,795.09,0.01,384.01,48.3,219.1,1,41.16,1.06,2,1,0.41,244927.5
  US154: Norfolk-Portsmouth-Chesapeake-Virginia beach,,3054.99,0.03,794.37,26,771.61,1,72.76,0.99,5,3,0.47,211595.4
  US155: Fresno,,21162.1,0.23,1163.81,5.5,86.29,1,86.3,-5.85,17,15,1.67,59703.35
  US159: Las Vegas,,67988.47,0.74,1252.95,1.84,1.86,1,97.76,-6.17,6,5,0.35,289275.67
  US160: Nashville,,9094.09,0.1,1263.65,13.9,4627.74,1,52.08,-2.01,40,7,3.45,28958.28
  US161: Tulsa,,18235.43,0.2,1740.57,9.54,2239.37,1,64.11,-2.49,79,12,8.63,11590.15
  US170: Raleigh,,5562.72,0.06,994.02,17.87,1885.41,1,79.33,-8.82,27,12,2.75,36407.44
  US174: Oklahoma city,,14456.94,0.16,1356.63,9.38,138.74,1,90.35,-2.49,53,27,4.47,22391.25
  US178: Charlotte,,4016.56,0.04,1298.6,32.33,890.46,1,71.79,-5.42,25,7,2.18,45821.4
  US180: Albuquerque,,24079.87,0.26,816.88,3.39,74.1,1,75.42,-2.65,17,3,2.07,48223.65
  US181: Memphis,,13234.05,0.14,1477.38,11.16,3179.16,1,86.41,1.76,47,7,3.68,27164.83
  US186: Little Rock,,7781.82,0.08,867.05,11.14,2971.59,1,58.99,-3.27,34,8,5.36,18652.03
  US195: Columbia,,3961.67,0.04,797.32,20.13,229.21,1,59.56,2.41,19,5,3.16,31595.63
  US205: Birmingham (US),,6692.58,0.07,1179.08,17.62,1226.67,1,74.39,5.39,55,32,6.2,16127.98
  US212: Fort Worth,,4681.62,0.05,1508.91,32.23,25.76,1,94.05,-5.42,46,34,2.62,38221.61
  US213: Charleston,,7361.17,0.08,647.97,8.8,492.36,1,54.24,-2.49,27,16,4.39,22783.78
  US223: Tucson,,23799.97,0.26,844.28,3.55,1.16,1,100,-0.91,5,5,0.54,184637.6
  US227: El Paso,,14467.58,0.16,532.77,3.68,3.99,1,99.55,3.87,7,6,0.93,107609.71
  US233: Baton Rouge,,6438.7,0.07,765.81,11.89,878,1,69.42,-1.59,25,3,4.04,24722.48
  US234: Austin,,11084.37,0.12,1660.73,14.98,183.4,1,70.49,-9.75,44,26,2.92,34287.89
  US237: Jacksonville,,8871.53,0.1,1266.69,14.28,174.04,1,79.88,-2.71,14,5,1.12,89246.86
  US241: New Orleans,,12510.83,0.14,951.3,7.6,192.72,1,80.84,8.46,18,7,1.45,68871.06
  US251: Clearwater/Saint Petersburg,,2853.86,0.03,1110.08,38.9,289.03,1,100,-0.85,30,30,2.25,44363.6
  US252: Tampa,,2819.26,0.03,1010.92,35.86,501.85,1,100,-6.97,3,3,0.27,377116
  US261: Mcallen,,4102,0.04,723.89,17.65,158.25,1,100,-12.13,22,22,3.21,31136.27
  US035: Madison,,5268.07,0.06,588.66,11.17,5214.03,1,89.36,0.46,93,59,17.97,5564.52
  US038: Buffalo,,4111.52,0.04,865.98,21.06,2298.04,1,81.05,3.5,63,43,5.48,18241.57
  US039: Grand Rapids,,2258.97,0.02,710.22,31.44,2856.7,1,100,-0.53,34,34,5.75,17386.59
  US044: Albany,,7454.61,0.08,819.81,11,1879.06,1,96.21,0.58,79,27,9.27,10790.35
  US060: Providence,,1665.12,0.02,561.65,33.73,123.23,1,94.04,4.74,24,21,2.85,35056.21
  US065: Toledo (US),,908.74,0.01,408.73,44.98,566.1,1,100,3.48,21,21,4.7,21288.76
  US070: Des Moines,,9020.15,0.1,931.65,10.33,5355.11,1,72.14,-1.29,70,17,12.4,8065.64
  US077: Omaha,,11411.74,0.12,1277.58,11.2,775.16,1,60.06,-0.02,108,7,13.1,7630.73
  US081: Akron,,1087.89,0.01,613.7,56.41,1285.04,1,100,3.11,32,32,5.9,16944.63
  US089: Salt Lake City,,27710.01,0.3,864.61,3.12,594.56,1,91.98,-0.1,29,15,2.74,36552.28
  US097: Pittsburgh,,1928.85,0.02,1018.11,52.78,605.19,1,100,6.28,128,128,10.27,9737.47
